ID,CITY,STATE,INSTALL DATE
ADQ,KODIAK,AK,4/10/2007
AKN,KING SALMON,AK,3/21/2007
AKW,KLAWOCK,AK,6/7/2006
ANC,ANCHORAGE,AK,9/18/2006
ANN,ANNETTE,AK,5/26/2006
AQT,NUIQSUT,AK,8/22/2006
AWI,WAINWRIGHT,AK,8/16/2006
BET,BETHEL,AK,9/13/2006
BIG,DELTA JUNCTION,AK,10/7/2005
BRW,BARROW,AK,6/17/2003
BTT,BETTLES,AK,5/18/2006
CDB,COLD BAY,AK,9/19/2006
CDV,CORDOVA,AK,11/7/2005
DEE,DEERING,AK,9/3/2006
EAA,EAGLE,AK,6/7/2006
ENA,KENAI,AK,9/21/2006
ENN,NENANA,AK,10/27/2005
FAI,FAIRBANKS,AK,8/23/2006
GKN,GULKANA,AK,11/17/2005
HNS,HAINES,AK,10/27/2005
HOM,HOMER,AK,9/23/2006
ILI,ILIAMNA,AK,1/14/2007
JNU,JUNEAU,AK,8/22/2006
KAL,KALTAG,AK,6/13/2006
KTN,KETCHIKAN,AK,1/10/2003
KVL,KIVALINA,AK,9/3/2006
LHD,ANCHORAGE,AK,4/11/2007
MCG,MCGRATH,AK,6/1/2006
MRI,ANCHORAGE,AK,4/17/2007
OME,NOME,AK,9/2/2006
ORT,NORTHWAY,AK,8/24/2006
OTZ,KOTZEBUE,AK,8/30/2006
PAQ,PALMER,AK,9/19/2006
PBV,ST. GEORGE ISLAND,AK,7/9/2006
POR,PORTAGE,AK,4/17/2007
SCC,DEADHORSE,AK,8/24/2006
SGY,SKAGWAY,AK,11/7/2005
SIT,SITKA,AK,1/24/2003
SNP,ST PAUL ISLAND,AK,10/1/2006
SOV,SELDOVIA,AK,10/30/2005
SWD,SEWARD,AK,10/27/2005
TAL,TANANA,AK,11/17/2005
TKA,TALKEETNA,AK,7/2/2003
YAK,YAKUTAT,AK,10/20/2005
ANB,ANNISTON,AL,1/14/2009
BFM,MOBILE,AL,4/13/2007
BHM,BIRMINGHAM,AL,3/5/2009
DCU,DECATUR,AL,5/10/2007
DHN,DOTHAN,AL,5/30/2007
EET,ALABASTER,AL,1/8/2009
GZH,EVERGREEN,AL,3/20/2007
HSV,HUNTSVILLE,AL,5/8/2007
MGM,MONTGOMERY,AL,2/20/2009
MOB,MOBILE,AL,3/5/2007
MSL,MUSCLE SHOALS,AL,5/24/2007
TCL,TUSCALOOSA,AL,1/12/2009
TOI,TROY,AL,1/21/2009
AWM,WEST MEMPHIS,AR,9/23/2008
BPK,MOUNTAIN HOME,AR,7/11/2007
DEQ,DE QUEEN,AR,4/26/2007
ELD,EL DORADO,AR,7/11/2007
FSM,FORT SMITH,AR,2/19/2009
FYV,FAYETTEVILLE,AR,4/24/2009
HKA,BLYTHEVILLE,AR,9/25/2008
HOT,HOT SPRINGS,AR,7/24/2007
HRO,HARRISON,AR,5/27/2009
JBR,JONESBORO,AR,10/1/2008
LIT,LITTLE ROCK,AR,5/21/2009
LLQ,MONTICELLO,AR,7/17/2007
MWT,MOUNT IDA,AR,6/6/2007
PBF,PINE BLUFF,AR,6/19/2007
RUE,RUSSELLVILLE,AR,12/6/2006
TXK,TEXARKANA,AR,8/16/2007
XNA,FAYETTEVILLE/SPRINGDALE,AR,10/30/2008
DUG,DOUGLAS,AZ,2/27/2006
DVT,PHOENIX,AZ,2/21/2007
FLG,FLAGSTAFF,AZ,2/8/2007
GCN,GRAND CANYON,AZ,2/12/2007
IGM,KINGMAN,AZ,2/20/2007
INW,WINSLOW,AZ,1/30/2006
OLS,NOGALES,AZ,9/26/2006
PGA,PAGE,AZ,2/15/2007
PHX,PHOENIX,AZ,4/3/2007
PRC,PRESCOTT,AZ,2/9/2007
RQE,WINDOW ROCK,AZ,1/30/2006
SAD,SAFFORD,AZ,3/7/2006
SDL,SCOTTSDALE,AZ,3/20/2007
SJN,ST JOHNS,AZ,1/30/2006
TUS,TUCSON,AZ,4/10/2007
AAT,ALTURAS,CA,4/24/2006
ACV,ARCATA/EUREKA,CA,1/31/2007
APC,NAPA,CA,3/18/2008
AVX,AVALON,CA,9/5/2007
BFL,BAKERSFIELD,CA,3/14/2007
BIH,BISHOP,CA,10/27/2005
BLH,BLYTHE,CA,10/27/2005
BLU,EMIGRANT GAP,CA,10/31/2002
BUR,BURBANK,CA,2/7/2007
CCR,CONCORD,CA,8/26/2005
CEC,CRESCENT CITY,CA,9/7/2006
CMA,CAMARILLO,CA,1/25/2007
CNO,CHINO,CA,3/28/2007
CQT,LOS ANGELES,CA,2/3/2006
CRQ,CARLSBAD,CA,4/11/2007
CZZ,CAMPO,CA,2/3/2006
DAG,DAGGETT,CA,1/30/2006
EED,NEEDLES,CA,2/5/2007
FAT,FRESNO,CA,4/3/2007
FUL,FULLERTON,CA,4/3/2007
